# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	577
#@/user_id	bf0c8134-52bc-4b1c-a9df-bd5224475e73
chong zhi 	重置	c=4 d=0.195896 t=577
chou 	丑	c=1 d=0.00412784 t=577
chou jiang 	抽獎	c=1 d=0.494109 t=577
chou mi 	稠密	c=1 d=0.055299 t=577
chu 	出	c=13 d=0.802519 t=577
chu 	除	c=1 d=0.000378233 t=577
chu bu jin 	除不盡	c=1 d=0.000372602 t=577
chu cuo 	出錯	c=0 d=0.0582748 t=577
chu fa 	除法	c=2 d=0.000747089 t=577
chu lai 	出來	c=3 d=0.592 t=577
chu le 	出了	c=3 d=1.04079 t=577
chu le 	除了	c=1 d=0.600496 t=577
chu li 	處理	c=3 d=0.000119147 t=577
chu lian 	初戀	c=1 d=1 t=577
chu men 	出門	c=1 d=0.000249763 t=577
chu qu 	出去	c=3 d=0.660105 t=577
chu shen 	出身	c=1 d=0.00121866 t=577
chu shi 	初始	c=1 d=0.0719458 t=577
chu shi can shu 	初始參數	c=1 d=0.718924 t=577
chu shi hua 	初始化	c=1 d=1.17108e-05 t=577
chu tou 	出頭	c=1 d=0.000944363 t=577
chu xian 	出現	c=4 d=2.49349 t=577
chu yi ge 	出一個	c=1 d=0.00168667 t=577
chu yu 	處於	c=1 d=2.14454e-05 t=577
chuan 	串	c=1 d=0.0239928 t=577
chuan bo 	傳播	c=1 d=2.3348e-05 t=577
chuan zhe 	穿着	c=1 d=0.000253537 t=577
chuang jian 	創建	c=1 d=0.000567086 t=577
chuang kou 	窗口	c=4 d=0.0274979 t=577
chui 	吹	c=0 d=2.7603e-05 t=577
chui gan mao le 	吹感冒了	c=1 d=0.000277414 t=577
chui zi 	錘子	c=1 d=1 t=577
chun 	春	c=1 d=0.65377 t=577
chun jing 	純淨	c=3 d=0.053675 t=577
chun tian 	春天	c=1 d=1 t=417
ci 	詞	c=1 d=0.748264 t=577
ci ci 	次次	c=1 d=0.00402593 t=577
ci dian 	詞典	c=1 d=1 t=577
ci hua 	此話	c=1 d=0.00105946 t=577
ci ke 	此刻	c=1 d=0.00509243 t=577
ci ku 	詞庫	c=6 d=4.77171 t=577
ci pin 	詞頻	c=1 d=2.59329e-05 t=577
ci shi 	此時	c=1 d=0.752014 t=577
ci shu 	次數	c=1 d=3.86873e-05 t=577
ci yu 	詞語	c=0 d=0.1 t=338
cong 	從	c=4 d=0.0887637 t=577
cong ming 	聰明	c=1 d=0.000185956 t=577
cong pian yi 	從便宜	c=1 d=0.00278085 t=577
cun 	寸	c=1 d=0.0301974 t=577
cun lai shu 	寸來書	c=1 d=0.302704 t=577
cun zai 	存在	c=3 d=0.71177 t=577
cuo 	錯	c=2 d=0.972076 t=577
cuo jue 	錯覺	c=0 d=0.0390628 t=577
cuo le 	錯了	c=2 d=0.588605 t=577
cuo wei 	錯位	c=1 d=8.96139e-05 t=577
cuo wu 	錯誤	c=3 d=0.0003457 t=577
da 	大	c=8 d=0.968572 t=577
da 	打	c=4 d=0.099005 t=577
da an 	答案	c=1 d=0.183599 t=577
da bu kai 	打不開	c=1 d=0.0531307 t=577
da dan 	大單	c=1 d=0.571209 t=577
da duo shu 	大多數	c=5 d=0.00718399 t=577
da fa 	大發	c=1 d=1 t=577
da gai 	大概	c=1 d=0.763379 t=577
da ge 	大哥	c=4 d=0.187857 t=577
da gong 	打工	c=2 d=1.28814 t=577
da han 	大漢	c=1 d=1 t=577
da jian 	搭建	c=1 d=0.852144 t=577
da kai 	打開	c=8 d=0.847894 t=577
da lao 	大佬	c=10 d=1.86696 t=577
da le 	打了	c=1 d=1 t=577
da lu 	大陸	c=2 d=0.00813319 t=577
da ma 	大媽	c=1 d=0.0788664 t=577
da nao 	大腦	c=4 d=0.20658 t=577
da quan 	大全	c=3 d=0.739886 t=577
da ren 	大人	c=1 d=0.245367 t=577
da shi suo qu 	大勢所趨	c=1 d=1 t=577
da shu ju 	打數據	c=2 d=0.0255797 t=577
da ting 	大廳	c=1 d=0.00021605 t=577
da tou 	大頭	c=1 d=0.000649051 t=577
da xiao 	大小	c=2 d=0.00494193 t=577
da xue 	大學	c=1 d=0.00543443 t=577
da zhi 	大致	c=1 d=0.00247875 t=577
dai 	帶	c=2 d=0.937067 t=577
dai dong 	帶動	c=1 d=0.00142298 t=577
dai kai 	代開	c=1 d=0.0121552 t=577
dai kuai 	帶快	c=1 d=0.980199 t=577
dai kuan 	帶寬	c=1 d=0.985112 t=577
dai li 	代理	c=2 d=0.0267827 t=577
dai ma 	代碼	c=2 d=0.398519 t=577
dai qiu 	帶球	c=4 d=0.847443 t=577
dan dan 	蛋蛋	c=1 d=0.00283702 t=577
dan ge 	單個	c=2 d=0.301661 t=577
dan jia 	擔架	c=1 d=0.00223168 t=577
dan lian 	單鏈	c=1 d=0.29671 t=577
dan ni er 	丹尼爾	c=0 d=0.0548812 t=577
dan ni er gong lu 	丹尼爾公路	c=1 d=0.551563 t=577
dan qiu 	但求	c=1 d=1 t=577
dan shi 	但是	c=8 d=1.26646 t=577
dang 	檔	c=1 d=0.774916 t=577
dang 	當	c=7 d=0.135707 t=577
dang 	黨	c=1 d=1 t=577
dang bei 	當貝	c=1 d=0.56836 t=577
dang bei zhuo mian 	當貝桌面	c=1 d=0.0668703 t=577
dang dai 	當代	c=2 d=0.00231962 t=577
dang jia 	當家	c=1 d=1 t=577
dang qian 	當前	c=15 d=0.663375 t=577
dang shi 	當世	c=1 d=0.00149594 t=577
dang zuo 	當作	c=1 d=0.408608 t=577
dao 	倒	c=1 d=1 t=577
dao 	到	c=1 d=0.470011 t=577
dao 	道	c=4 d=0.0289258 t=577
dao ban 	盜版	c=3 d=0.53577 t=577
dao hao 	盜號	c=1 d=0.126186 t=577
dao ji 	道濟	c=1 d=0.000254808 t=577
dao jiao 	道教	c=1 d=0.000266536 t=577
dao lao 	到老	c=1 d=0.895834 t=577
dao lun 	導論	c=1 d=0.0181772 t=577
dao shi 	倒是	c=2 d=0.0149956 t=577
dao shi hou 	到時候	c=1 d=0.802519 t=577
dao shu 	倒數	c=3 d=0.573013 t=577
dao wan 	到晚	c=1 d=1 t=577
dao zhi 	導致	c=3 d=1.38507 t=577
de 	得	c=2 d=0.414791 t=577
de 	德	c=49 d=7.43543 t=577
de 	的	c=156 d=5.95535 t=577
de fu fei 	的付費	c=1 d=0.0195457 t=577
dei 	得	c=3 d=0.00542248 t=577
deng 	燈	c=1 d=0.000724521 t=577
deng 	等	c=1 d=0.344728 t=577
deng bi 	等比	c=1 d=0.00594622 t=577
deng cha 	等差	c=1 d=8.67557e-06 t=577
deng hou 	等候	c=1 d=0.00241755 t=577
deng lu 	登錄	c=8 d=2.95878 t=577
deng ni 	等你	c=1 d=1 t=477
deng pao 	燈泡	c=1 d=0.000713734 t=577
deng tong 	等同	c=1 d=0.0539337 t=577
di 	地	c=1 d=0.114786 t=577
di 	第	c=3 d=0.0454632 t=577
di ban zhuan 	地板磚	c=1 d=0.250324 t=577
di duo da 	地多大	c=1 d=0.104874 t=577
di er da 	第二大	c=1 d=0.265803 t=577
di er ge 	第二個	c=1 d=0.000212834 t=577
di er tian 	第二天	c=1 d=1 t=577
di gong an 	狄公案	c=0 d=0.0755784 t=577
di qiu 	地球	c=1 d=0.0104099 t=577
di qu 	地區	c=4 d=1.54218 t=577
di san fang 	第三方	c=5 d=0.519504 t=577
di xia 	地下	c=1 d=1 t=577
di xia dang 	地下黨	c=1 d=1 t=577
di yi ge 	第一個	c=4 d=0.647619 t=577
di yi hang 	第一行	c=1 d=0.0136366 t=577
di yi zhang 	第一章	c=1 d=0.000668817 t=577
di zeng 	遞增	c=1 d=8.25245e-06 t=577
di zhi 	地址	c=3 d=0.814672 t=577
di zi 	弟子	c=1 d=1 t=577
dian 	點	c=22 d=1.03066 t=577
dian bo 	點播	c=4 d=1.77389 t=577
dian chi 	電池	c=6 d=3.36533 t=577
dian ci bo 	電磁波	c=1 d=1.34034e-05 t=577
dian ci chang 	電磁場	c=2 d=3.12396e-05 t=577
dian dong che 	電動車	c=4 d=3.90723 t=577
dian feng shan 	電風扇	c=1 d=1.21887e-05 t=577
dian han 	電焊	c=1 d=0.280832 t=577
dian he 	電荷	c=1 d=1.6453e-05 t=577
dian hua 	電話	c=2 d=0.824567 t=577
dian ji 	點擊	c=1 d=1.03347e-05 t=577
dian nao 	電腦	c=1 d=0.00474815 t=577
dian qi 	電器	c=1 d=0.0213864 t=577
dian qi gong cheng 	電氣工程	c=1 d=0.0217096 t=577
dian shi 	電視	c=30 d=3.84007 t=577
dian shi he zi 	電視盒子	c=3 d=0.00459154 t=577
dian shi ji 	電視機	c=1 d=0.00264522 t=577
dian shi ju 	電視劇	c=2 d=0.488062 t=577
dian shi mao 	電視毛	c=2 d=0.417825 t=577
dian shi shang 	電視上	c=1 d=1 t=577
dian shi xi tong 	電視系統	c=1 d=0.00263203 t=577
dian xing 	典型	c=1 d=0.000773179 t=577
dian yuan 	電源	c=2 d=0.0112339 t=577
dian zai 	點在	c=1 d=1 t=577
dian zi shu 	電子書	c=1 d=0.0020601 t=577
diao 	吊	c=1 d=0.000593188 t=577
diao deng 	吊燈	c=1 d=0.000720907 t=577
diao le 	掉了	c=1 d=0.235746 t=577
diao su 	雕塑	c=1 d=0.031117 t=577
diao xiang 	雕像	c=1 d=0.891366 t=577
diao yong 	調用	c=4 d=0.000159091 t=577
die dai 	迭代	c=4 d=0.008396 t=577
die jia 	疊加	c=1 d=1 t=577
ding bu zhu 	頂不住	c=1 d=0.00149594 t=577
ding ceng 	頂層	c=2 d=0.000933247 t=577
ding dian 	頂點	c=1 d=1.28136e-05 t=577
ding duo 	頂多	c=2 d=0.0808629 t=577
ding yong 	頂用	c=1 d=0.111917 t=577
ding yue 	訂閱	c=13 d=2.97167 t=577
ding yue lian jie 	訂閱鏈接	c=1 d=1 t=577
ding zhe 	頂着	c=1 d=1 t=577
dong 	動	c=1 d=1.18878e-05 t=577
dong fang 	東方	c=4 d=0.976591 t=577
dong guo 	動過	c=0 d=0.0254107 t=577
dong guo shu 	動過書	c=1 d=0.255381 t=577
dong jin 	東晉	c=4 d=1.89786 t=577
dong lai 	東來	c=2 d=1.16621 t=577
dong li 	動力	c=1 d=0.00110822 t=577
dong man 	動漫	c=2 d=1.99501 t=466
dong man 	東滿	c=1 d=1 t=464
dong sha dao 	東沙島	c=1 d=0.287941 t=577
dong tai 	動態	c=1 d=1 t=577
